image_file,strehl_ratio,diffraction_limit_radius_um,EE.8_radius_um,EE.9995_radius_um,background image,um_per_pixel,datetime_run
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer.tiff,0.685594,58.5600,105.097669,3345.667628,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:24:00
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer_2_matching_WFS_mask.tiff,0.710490,58.5600,86.525560,3292.111771,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:28:15
Z:\software\ZEUS_Calculation_Codes\Laser_Calculations\Focal_Spot_Images\Focal_Spot_Tests\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM.tiff,0.677458,58.5600,113.902261,3192.862701,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:28:35
S:\TA1\Focal_Spot\Image__2026-03-06__11-09-50.tiff,0.374779,58.5600,128.347419,303.070277,Focal_Spot_Images/Focal_Spot_Backgrounds/TA1_Background_03092026.tiff,3.4500,2026-03-09T10:35:20
S:\TA1\Focal_Spot_Images\TA1_Focal_Spot_Images\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer_2_matching_WFS_mask.tiff,0.710490,58.5600,86.525560,3292.111771,S:\TA1\Focal_Spot_Images\TA1_Focal_Spot_Backgrounds\TA1_Background_03092026_SN_40483695.tiff,3.4500,2026-03-09T10:50:02
S:\TA1\Focal_Spot_Data\TA1_Focal_Spot_Images\Image__2026-03-06__17-18-43_SR55_FULL_VACUUM_Apodizer_2_matching_WFS_mask.tiff,0.710490,58.5600,86.525560,3292.111771,S:\TA1\Focal_Spot_Data\TA1_Focal_Spot_Backgrounds\TA1_Background_03092026_SN_40483695.tiff,3.4500,2026-03-09T10:53:44
