image_file,strehl_ratio,diffraction_limit_radius_um,um_per_pixel,datetime_run
20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,0.376121,2.3900,0.0854,2026-03-04T11:52:33
20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,inf,2.3900,0.0854,2026-03-04T11:54:05
20250627Optimized_focal_spot_wObjective_wPM_exptime3e3.tiff,0.376121,2.3900,0.0854,2026-03-04T11:54:40
